Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
GCC,SVC,DistilBERT,0.626626627,0.551337589,0.604244266,0.626626627,0.576078167
GCC,KNeighborsClassifier,TF-IDF,0.573573574,0.524186807,0.551222664,0.573573574,0.555375409
GCC,KNeighborsClassifier,DistilBERT,0.591591592,0.557892537,0.58232053,0.591591592,0.585503385
GCC,MultinomialNB,TF-IDF,0.623623624,0.537961696,0.600600601,0.623623624,0.553953182
GCC,MultinomialNB,DistilBERT,0.625625626,0.547195622,0.602824369,0.625625626,0.569738616
GCC,MLPClassifier,TF-IDF,0.567567568,0.514534884,0.541313391,0.567567568,0.545705706
GCC,MLPClassifier,DistilBERT,0.631631632,0.532147743,0.650998728,0.631631632,0.530010094
GCC,RandomForestClassifier,TF-IDF,0.587587588,0.528499772,0.558804746,0.587587588,0.558845802
GCC,RandomForestClassifier,DistilBERT,0.630630631,0.543680651,0.616688637,0.630630631,0.558865037
GCC,SVC,TF-IDF,0.610610611,0.519740842,0.571099418,0.610610611,0.528515709
